symbol,series,date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover,no_of_trades,deliverable_qty,dly_qt_to_traded_qty,daily_return_%,price_range,delivery_ratio_%,month,quarter,year
HDFCBANK,EQ,2019-08-09,2233.15,2247.0,2289.0,2239.8,2285.0,2282.0,2274.74,7609028,17308568937.9,180014,5733704,75.35,2.1875,49.2,75.35,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-13,2282.0,2273.3,2273.3,2202.6,2228.0,2220.35,2226.91,3860017,8595896762.6,187637,2385244,61.79,-2.7016,70.7,61.79,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-14,2220.35,2235.4,2235.4,2203.05,2227.9,2229.45,2223.33,3563513,7922878553.05,113946,2010160,56.41,0.4098,32.35,56.41,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-16,2229.45,2214.0,2233.0,2204.1,2223.95,2227.7,2222.29,3811890,8471119947.3,134420,2587007,67.87,-0.0785,28.9,67.87,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-19,2227.7,2238.5,2242.0,2201.7,2210.95,2206.85,2227.18,2124550,4731763226.75,120954,994100,46.79,-0.9359,40.3,46.79,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-20,2206.85,2209.25,2227.8,2206.85,2224.0,2220.6,2218.57,2567648,5696516504.55,85255,1232433,48.0,0.6231,20.95,48.0,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-21,2220.6,2224.9,2241.2,2214.2,2225.7,2225.85,2229.56,2618178,5837373798.65,75718,1466393,56.01,0.2364,27.0,56.01,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-22,2225.85,2220.85,2220.85,2167.05,2177.0,2174.1,2199.15,3498011,7692639006.35,203340,2048334,58.56,-2.325,53.8,58.56,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-23,2174.1,2161.0,2177.0,2139.6,2164.9,2162.7,2157.09,5024904,10839185043.4,198523,3284413,65.36,-0.5244,37.4,65.36,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-26,2162.7,2194.9,2266.15,2167.0,2259.0,2256.15,2216.97,6320061,14011405009.35,231650,3467750,54.87,4.321,99.15,54.87,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-27,2256.15,2256.0,2272.9,2240.1,2258.0,2259.95,2257.98,5165208,11662935037.8,199581,3252574,62.97,0.1684,32.8,62.97,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-28,2259.95,2250.0,2257.35,2226.35,2245.0,2247.5,2240.16,3415647,7651604388.4,166668,1934486,56.64,-0.5509,31.0,56.64,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-29,2247.5,2246.0,2253.7,2220.3,2225.5,2226.95,2236.05,3695929,8264299893.8,156003,2120121,57.36,-0.9143,33.4,57.36,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-08-30,2226.95,2233.5,2260.0,2222.0,2231.9,2227.95,2238.3,4808330,10762486798.15,161307,2865953,59.6,0.0449,38.0,59.6,2019-08,2019Q3,2019
HDFCBANK,EQ,2019-09-03,2227.95,2220.0,2221.0,2196.15,2200.5,2210.95,2210.2,2857169,6314928163.2,154531,1973739,69.08,-0.763,24.85,69.08,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-04,2210.95,2207.0,2274.0,2199.0,2244.0,2247.75,2242.36,3765176,8442880812.75,147126,1806149,47.97,1.6644,75.0,47.97,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-05,2247.75,2249.0,2272.4,2225.0,2232.0,2235.15,2249.57,4324063,9727276037.7,132274,2233304,51.65,-0.5606,47.4,51.65,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-06,2235.15,2228.0,2256.6,2221.3,2241.75,2245.9,2240.48,3217501,7208762089.6,129381,1963939,61.04,0.481,35.3,61.04,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-09,2245.9,2246.0,2260.9,2216.1,2245.15,2249.6,2246.95,2660851,5978807001.45,86620,1419605,53.35,0.1647,44.8,53.35,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-11,2249.6,2274.0,2274.0,2241.15,2246.0,2251.3,2254.26,3802279,8571339383.15,169443,2480806,65.25,0.0756,32.85,65.25,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-12,2251.3,2250.7,2288.8,2248.15,2267.95,2270.85,2271.76,4533075,10298073928.05,166034,3043908,67.15,0.8684,40.65,67.15,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-13,2270.85,2251.0,2267.45,2238.0,2259.8,2257.45,2252.89,3842835,8657474067.9,164332,2253074,58.63,-0.5901,29.45,58.63,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-16,2257.45,2251.9,2262.65,2241.0,2243.0,2244.15,2250.46,2757546,6205756889.05,131945,1635667,59.32,-0.5892,21.65,59.32,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-17,2244.15,2247.9,2248.5,2198.1,2220.0,2211.35,2220.32,2664139,5915245203.75,141227,1442352,54.14,-1.4616,50.4,54.14,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-18,2211.35,2217.3,2224.15,2180.0,2188.0,2187.75,2203.61,3239971,7139638886.9,155878,1584011,48.89,-1.0672,44.15,48.89,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-19,2187.75,1099.9,1107.05,1084.0,1100.05,1101.05,1093.79,5311655,5809819672.1,172428,2433720,45.82,-49.672,23.05,45.82,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-20,1101.05,1108.0,1209.9,1105.4,1202.0,1199.6,1174.97,23075017,27112448513.5,495257,10624318,46.04,8.9505,104.5,46.04,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-23,1199.6,1259.55,1282.7,1229.0,1255.3,1257.25,1257.31,20960205,26353536485.2,399302,11470765,54.73,4.8058,53.7,54.73,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-24,1257.25,1250.0,1261.95,1227.55,1252.15,1253.8,1244.36,11689524,14546003120.9,253765,6331061,54.16,-0.2744,34.4,54.16,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-25,1253.8,1249.9,1249.9,1230.1,1240.0,1239.7,1238.04,7804488,9662249393.1,188354,4384523,56.18,-1.1246,19.8,56.18,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-26,1239.7,1239.8,1275.0,1236.35,1246.0,1242.5,1249.5,15335780,19162065306.6,267570,6818174,44.46,0.2259,38.65,44.46,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-27,1242.5,1248.25,1253.5,1237.6,1245.6,1244.2,1245.87,7436585,9264982098.75,181792,4340632,58.37,0.1368,15.9,58.37,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-09-30,1244.2,1228.8,1240.0,1216.5,1227.5,1227.45,1229.6,9109229,11200672638.85,213075,6091881,66.88,-1.3462,23.5,66.88,2019-09,2019Q3,2019
HDFCBANK,EQ,2019-10-01,1227.45,1231.5,1255.0,1221.1,1250.2,1248.8,1241.11,9384176,11646764342.2,237310,4624217,49.28,1.7394,33.9,49.28,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-03,1248.8,1239.95,1243.8,1216.35,1222.9,1223.55,1227.27,8149438,10001593148.15,288240,4297804,52.74,-2.0219,27.45,52.74,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-04,1223.55,1236.65,1239.6,1185.3,1189.75,1189.7,1209.48,9201816,11129384400.75,257533,4831347,52.5,-2.7665,54.3,52.5,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-07,1189.7,1201.2,1219.85,1181.15,1184.55,1186.9,1201.38,11256610,13523469540.25,216482,5007897,44.49,-0.2354,38.7,44.49,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-09,1186.9,1197.1,1229.9,1190.0,1228.2,1228.15,1211.14,8713635,10553402882.7,241068,4674399,53.64,3.4754,39.9,53.64,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-10,1228.15,1221.8,1225.95,1197.2,1203.0,1200.55,1204.54,5778429,6960322085.7,173146,3089486,53.47,-2.2473,28.75,53.47,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-11,1200.55,1213.4,1224.0,1188.95,1198.15,1198.8,1206.12,8593159,10364407655.4,195427,4487710,52.22,-0.1458,35.05,52.22,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-14,1198.8,1209.0,1219.9,1197.4,1204.4,1204.4,1211.27,6133901,7429783513.0,159516,3049256,49.71,0.4671,22.5,49.71,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-15,1204.4,1207.0,1225.0,1206.85,1223.7,1223.05,1217.66,4200187,5114380372.85,121277,2048447,48.77,1.5485,18.15,48.77,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-16,1223.05,1231.65,1235.0,1210.1,1221.5,1221.1,1222.27,5293408,6469999257.4,158557,2351286,44.42,-0.1594,24.9,44.42,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-17,1221.1,1227.5,1229.85,1213.1,1221.5,1220.0,1221.84,6121807,7479843101.35,174349,3289207,53.73,-0.0901,16.75,53.73,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-18,1220.0,1225.45,1233.85,1220.35,1229.0,1229.0,1227.68,5616903,6895782776.9,126554,3117700,55.51,0.7377,13.5,55.51,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-22,1229.0,1257.0,1257.0,1232.6,1239.9,1239.3,1244.3,10003114,12446872787.75,235749,5139082,51.37,0.8381,24.4,51.37,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-23,1239.3,1246.85,1249.75,1233.0,1245.0,1241.6,1242.17,5095107,6329004764.7,165735,2808097,55.11,0.1856,16.75,55.11,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-24,1241.6,1248.0,1254.15,1226.35,1235.0,1236.1,1241.78,6553747,8138285935.25,169086,2964030,45.23,-0.443,27.8,45.23,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-25,1236.1,1240.0,1246.85,1220.0,1227.9,1229.0,1234.93,6496771,8023045591.75,168865,3674313,56.56,-0.5744,26.85,56.56,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-27,1229.0,1239.95,1241.9,1235.0,1238.0,1237.7,1238.06,875425,1083824484.4,32899,478938,54.71,0.7079,6.9,54.71,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-29,1237.7,1238.0,1257.35,1237.7,1242.55,1242.5,1246.85,7116284,8872915232.8,163100,4595216,64.57,0.3878,19.65,64.57,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-30,1242.5,1246.9,1262.7,1243.0,1249.8,1248.35,1253.11,6005683,7525760735.85,153142,3382532,56.32,0.4708,19.7,56.32,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-10-31,1248.35,1257.7,1263.9,1227.1,1230.0,1230.35,1247.19,6608853,8242505540.0,149423,3851537,58.28,-1.4419,36.8,58.28,2019-10,2019Q4,2019
HDFCBANK,EQ,2019-11-01,1230.35,1239.0,1243.75,1227.6,1243.0,1240.05,1235.87,5756130,7113824716.75,144831,3699600,64.27,0.7884,16.15,64.27,2019-11,2019Q4,2019
